GB_Yield_Total,GK_Yield_Total,Rasio_GK_GB,GB_Kadar_Air_Mean,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Kemas_Pct_Teoritis,Total_Waste_Kg,Cetak_Durasi_Hari,Kemas_Durasi_Hari,Bulan_Produksi,Defect_Overall,Material_Description,Cluster,Cluster_Label,PCA1,PCA2
459.0,330.0,0.7189542483660131,4.6866666666666665,776.0,0.97,0.968932,0.0,0.0,4.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9276966359299221,0.31242261981282254
465.3,330.0,0.7092198581560284,4.513333333333333,780.0,0.975,0.9745,0.0,0.0,2.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.881262291108723,0.4279034465882922
463.7,330.4,0.7125296527927539,4.5600000000000005,779.0,0.97375,0.967768,0.0,0.0,1.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8875454917169181,0.3957475761307744
464.1,330.2,0.7114845938375349,4.7,780.0,0.975,0.974492,0.0,1.0,0.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8775709525193961,0.4478624585514309
468.1,330.0,0.7049775688955351,4.6866666666666665,779.0,0.97375,0.973192,0.0,0.0,3.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9096256998936475,0.4145138398630872
468.1,329.8,0.7045503097628711,4.673333333333333,784.0,0.98,0.976244,0.0,0.0,0.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8513498926542931,0.45905520895139007
463.1,330.0,0.7125890736342042,4.653333333333333,781.0,0.97625,0.97314,0.0,0.0,2.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8817418455179674,0.43395285482176754
459.7,329.9,0.7176419403959103,4.553333333333334,773.0,0.96625,0.958992,0.0,0.0,3.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9488445520065882,0.3268528783348274
468.0,329.8,0.7047008547008548,4.61,780.0,0.975,0.973212,0.0,1.0,1.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.889725312361002,0.4299963926133281
468.9,329.9,0.7035615269780336,4.573333333333333,779.0,0.97375,0.973576,0.0,0.0,0.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8801372251785291,0.41751714030074466
468.3,330.0,0.7046764894298526,4.64,780.0,0.975,0.98614,0.0,1.0,1.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8715726532588679,0.494455187203311
464.0,330.0,0.7112068965517241,4.616666666666666,779.0,0.97375,0.972564,0.0,0.0,0.0,5.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.877246912375397,0.4226606262771074
